,time,open,high,low,close,tick_volume,spread,real_volume
0,2018-06-29,2718.1,2741.8,2713.3,2717.3,5621,0,0
1,2018-07-01,2720.1,2721.6,2709.0,2719.1,2421,0,0
2,2018-07-02,2719.2,2724.8,2695.0,2723.8,5501,0,0
3,2018-07-03,2723.7,2737.7,2707.4,2709.3,4621,0,0
4,2018-07-04,2709.4,2720.7,2708.6,2716.2,1741,0,0
5,2018-07-05,2716.5,2736.2,2709.1,2729.9,4081,0,0
6,2018-07-06,2729.6,2763.1,2727.6,2759.6,4101,0,0
7,2018-07-08,2760.2,2763.6,2760.1,2762.6,461,0,0
8,2018-07-09,2762.2,2788.6,2762.1,2787.9,2731,0,0
9,2018-07-10,2787.6,2794.7,2769.6,2772.0,3461,0,0
10,2018-07-11,2772.1,2784.7,2762.9,2774.7,4101,0,0
11,2018-07-12,2775.0,2800.2,2772.9,2799.4,3021,0,0
12,2018-07-13,2799.4,2804.4,2790.4,2801.1,2631,0,0
13,2018-07-15,2804.3,2805.9,2802.6,2804.2,651,0,0
14,2018-07-16,2804.3,2805.9,2791.4,2794.8,1951,0,0
15,2018-07-17,2794.7,2812.9,2786.9,2811.9,3481,0,0
16,2018-07-18,2811.7,2815.2,2803.9,2813.2,2111,0,0
17,2018-07-19,2812.9,2814.9,2797.4,2803.5,2561,0,0
18,2018-07-20,2803.4,2807.7,2790.1,2800.5,3231,0,0
19,2018-07-22,2802.4,2802.4,2799.5,2799.5,291,0,0
20,2018-07-23,2798.9,2813.9,2789.8,2813.4,3371,0,0
21,2018-07-24,2813.1,2828.4,2808.5,2816.2,3671,0,0
22,2018-07-25,2815.9,2846.6,2811.3,2834.4,5211,0,0
23,2018-07-26,2834.1,2843.7,2830.6,2839.3,2101,0,0
24,2018-07-27,2839.4,2844.2,2806.2,2814.5,5111,0,0
25,2018-07-29,2814.2,2814.9,2810.2,2812.7,791,0,0
26,2018-07-30,2813.0,2819.0,2795.9,2803.3,3651,0,0
27,2018-07-31,2803.4,2825.0,2800.2,2815.6,3741,0,0
28,2018-08-01,2816.0,2823.0,2803.2,2811.2,3481,0,0
29,2018-08-02,2811.1,2828.5,2788.4,2826.5,6481,0,0
30,2018-08-03,2826.2,2838.7,2822.2,2838.4,2081,0,0
31,2018-08-05,2839.5,2839.5,2837.2,2837.5,261,0,0
32,2018-08-06,2837.3,2850.5,2832.4,2847.1,2641,0,0
33,2018-08-07,2846.7,2861.1,2846.4,2856.7,1941,0,0
34,2018-08-08,2856.5,2860.0,2850.2,2852.6,1571,0,0
35,2018-08-09,2852.5,2860.4,2847.4,2849.5,2301,0,0
36,2018-08-10,2849.9,2850.1,2823.8,2837.1,3981,0,0
37,2018-08-12,2831.3,2831.5,2825.9,2829.6,951,0,0
38,2018-08-13,2829.3,2842.1,2818.2,2825.4,4391,0,0
39,2018-08-14,2825.1,2841.9,2824.8,2840.1,1921,0,0
40,2018-08-15,2840.0,2840.9,2801.6,2818.8,5741,0,0
41,2018-08-16,2819.1,2850.2,2815.6,2840.9,4741,0,0
42,2018-08-17,2841.2,2855.7,2833.7,2851.8,3341,0,0
43,2018-08-19,2851.7,2853.7,2851.1,2851.6,511,0,0
44,2018-08-20,2851.9,2859.5,2848.9,2854.9,1821,0,0
45,2018-08-21,2854.5,2872.7,2845.6,2846.2,4591,0,0
46,2018-08-22,2846.5,2867.0,2845.2,2861.4,2871,0,0
47,2018-08-23,2861.0,2868.5,2853.7,2856.0,2461,0,0
48,2018-08-24,2855.7,2876.3,2855.2,2875.6,2231,0,0
49,2018-08-26,2876.8,2881.3,2876.0,2881.1,631,0,0
50,2018-08-27,2881.0,2899.9,2880.3,2899.7,2051,0,0
51,2018-08-28,2899.6,2905.2,2893.4,2900.7,2251,0,0
52,2018-08-29,2900.4,2916.4,2896.9,2913.9,2551,0,0
53,2018-08-30,2913.4,2914.2,2894.9,2896.7,2191,0,0
54,2018-08-31,2896.8,2906.4,2890.9,2905.5,2231,0,0
55,2018-09-02,2905.5,2906.2,2904.1,2905.7,401,0,0
56,2018-09-03,2905.4,2911.2,2901.4,2905.9,1911,0,0
57,2018-09-04,2905.6,2910.9,2885.2,2896.9,4271,0,0
58,2018-09-05,2896.9,2899.8,2877.0,2885.3,3401,0,0
