,time,open,high,low,close,tick_volume,spread,real_volume
0,2018-06-28,1252.927,1254.272,1245.947,1248.615,81126,0,0
1,2018-06-29,1248.587,1255.614,1246.083,1252.63,78921,0,0
2,2018-07-01,1253.063,1254.194,1252.837,1253.411,2197,0,0
3,2018-07-02,1253.376,1253.626,1239.692,1242.147,75155,0,0
4,2018-07-03,1242.147,1256.851,1237.953,1254.966,76703,0,0
5,2018-07-04,1254.965,1261.093,1254.023,1256.958,59800,0,0
6,2018-07-05,1256.953,1259.724,1251.304,1257.311,79007,0,0
7,2018-07-06,1257.358,1258.791,1252.82,1254.874,70035,0,0
8,2018-07-08,1255.89,1256.598,1255.713,1256.436,1155,0,0
9,2018-07-09,1256.413,1265.877,1255.469,1258.399,68889,0,0
10,2018-07-10,1258.387,1260.328,1247.37,1255.953,74833,0,0
11,2018-07-11,1255.951,1256.064,1241.553,1242.719,82595,0,0
12,2018-07-12,1242.716,1248.544,1241.331,1246.033,72280,0,0
13,2018-07-13,1245.983,1248.071,1236.459,1241.612,71429,0,0
14,2018-07-15,1241.673,1242.154,1241.115,1241.164,1335,0,0
15,2018-07-16,1241.13,1245.56,1238.346,1240.728,66634,0,0
16,2018-07-17,1240.73,1244.967,1226.104,1227.161,78692,0,0
17,2018-07-18,1227.211,1229.124,1221.095,1227.376,75007,0,0
18,2018-07-19,1227.374,1228.999,1211.512,1223.468,86761,0,0
19,2018-07-20,1223.483,1232.249,1215.718,1231.634,86071,0,0
20,2018-07-22,1231.881,1233.31,1231.556,1232.89,2809,0,0
21,2018-07-23,1232.884,1235.078,1222.261,1224.255,78839,0,0
22,2018-07-24,1224.253,1229.456,1218.103,1225.161,79294,0,0
23,2018-07-25,1225.19,1234.147,1223.258,1233.083,82939,0,0
24,2018-07-26,1233.1,1235.173,1222.357,1224.121,81644,0,0
25,2018-07-27,1224.105,1227.296,1217.579,1222.744,71357,0,0
26,2018-07-29,1223.136,1223.623,1222.057,1222.482,1388,0,0
27,2018-07-30,1222.498,1225.062,1219.043,1222.522,62861,0,0
28,2018-07-31,1222.546,1228.492,1214.048,1223.94,77637,0,0
29,2018-08-01,1223.944,1224.724,1215.824,1217.811,74459,0,0
30,2018-08-02,1217.833,1221.073,1207.102,1208.394,77055,0,0
31,2018-08-03,1208.394,1219.988,1204.501,1213.363,70634,0,0
32,2018-08-05,1213.739,1215.094,1213.57,1214.837,1569,0,0
33,2018-08-06,1214.836,1217.859,1206.341,1208.729,70362,0,0
34,2018-08-07,1208.732,1216.137,1207.814,1212.432,67369,0,0
35,2018-08-08,1212.435,1215.794,1206.297,1213.297,69207,0,0
36,2018-08-09,1213.302,1217.285,1210.789,1212.131,70511,0,0
37,2018-08-10,1212.113,1217.085,1205.768,1211.101,82407,0,0
38,2018-08-12,1212.513,1213.851,1211.984,1212.357,2154,0,0
39,2018-08-13,1212.334,1212.607,1191.654,1192.84,88705,0,0
40,2018-08-14,1192.808,1198.69,1192.1,1193.93,76189,0,0
41,2018-08-15,1193.931,1194.17,1173.135,1173.787,87648,0,0
42,2018-08-16,1173.79,1182.001,1160.233,1175.369,92791,0,0
43,2018-08-17,1175.365,1185.005,1171.937,1184.833,79182,0,0
44,2018-08-19,1183.284,1183.839,1182.968,1183.572,1697,0,0
45,2018-08-20,1183.56,1191.297,1182.912,1191.217,71435,0,0
46,2018-08-21,1191.218,1196.993,1187.685,1195.997,79140,0,0
47,2018-08-22,1196.034,1201.58,1192.615,1195.104,75618,0,0
48,2018-08-23,1195.09,1195.484,1183.9,1184.531,78555,0,0
49,2018-08-24,1184.532,1208.549,1183.141,1205.763,76159,0,0
50,2018-08-26,1206.524,1207.919,1206.108,1207.827,2320,0,0
51,2018-08-27,1207.79,1212.353,1203.148,1211.056,70196,0,0
52,2018-08-28,1211.048,1214.285,1199.659,1202.678,78030,0,0
53,2018-08-29,1202.678,1207.839,1201.423,1207.178,75657,0,0
54,2018-08-30,1207.199,1207.26,1196.291,1199.912,79535,0,0
55,2018-08-31,1199.908,1208.83,1198.311,1200.931,81012,0,0
56,2018-09-02,1199.693,1200.06,1198.772,1199.136,1714,0,0
57,2018-09-03,1199.132,1203.851,1195.605,1200.794,54063,0,0
58,2018-09-04,1200.789,1201.998,1189.679,1192.034,80956,0,0
59,2018-09-05,1192.033,1198.372,1190.949,1197.114,74098,0,0
60,2018-09-06,1197.122,1206.956,1195.812,1201.154,80083,0,0
61,2018-09-07,1201.16,1203.518,1193.451,1195.714,79543,0,0
62,2018-09-09,1195.061,1196.286,1194.958,1196.161,1666,0,0
63,2018-09-10,1196.13,1198.461,1191.569,1195.052,70769,0,0
64,2018-09-11,1195.056,1199.393,1187.751,1197.05,71199,0,0
65,2018-09-12,1197.051,1208.479,1192.644,1206.233,79409,0,0
66,2018-09-13,1206.233,1212.645,1200.204,1202.116,78512,0,0
67,2018-09-14,1202.118,1208.544,1192.946,1193.393,73232,0,0
